0.81053  0.0111316
0.87129  0.0116655
0.92846  0.0122292
1.0071  0.0128818
1.08578  0.0132378
1.17164  0.0134455
1.21457  0.0135939
1.30045  0.0136829
1.38633  0.0137424
1.41138  0.013772
1.49726  0.0138018
1.58673  0.0138315
1.6082  0.0138612
1.69766  0.0139206
1.78354  0.0140097
1.81574  0.014069
1.90162  0.0141581
1.99108  0.0142472
2.01255  0.0142472
2.10202  0.0142473
2.1915  0.0142177
2.19161  0.0142169
2.20939  0.0142474
2.29885  0.0143068
2.38474  0.0143365
2.40621  0.0143662
2.49208  0.0144849
2.57799  0.014396
2.62462  0.0136842
2.65336  0.013002
2.66416  0.0125571
2.68932  0.0118452
2.7109  0.0111334
2.75407  0.0096206
2.77565  0.0089088
